@relation ThresholdCurve

@attribute Instance_number numeric
@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
0,6732,0,3553,0,1,1,0.654545,1,0.345455,0.791209,1,1,0
1,6732,0,3547,6,0.998311,1,0.654928,1,0.345072,0.791488,0.999417,1.000584,0.000667
2,6732,0,3546,7,0.99803,1,0.654991,1,0.345009,0.791534,0.999319,1.000681,0.0025
3,6732,0,3545,8,0.997748,1,0.655055,1,0.344945,0.791581,0.999222,1.000778,0.009
4,6731,1,3545,8,0.997748,0.999851,0.655021,0.999851,0.344979,0.79151,0.999125,1.000727,0.01
5,6731,1,3522,31,0.991275,0.999851,0.656491,0.999851,0.343509,0.792582,0.996889,1.002972,0.010588
6,6731,1,3521,32,0.990994,0.999851,0.656555,0.999851,0.343445,0.792628,0.996791,1.00307,0.012
7,6731,1,3520,33,0.990712,0.999851,0.656619,0.999851,0.343381,0.792675,0.996694,1.003168,0.012667
8,6731,1,3519,34,0.990431,0.999851,0.656683,0.999851,0.343317,0.792722,0.996597,1.003266,0.014737
9,6731,1,3518,35,0.990149,0.999851,0.656747,0.999851,0.343253,0.792768,0.9965,1.003363,0.016429
10,6731,1,3517,36,0.989868,0.999851,0.656811,0.999851,0.343189,0.792815,0.996403,1.003461,0.0175
11,6731,1,3516,37,0.989586,0.999851,0.656875,0.999851,0.343125,0.792862,0.996305,1.003559,0.02
12,6731,1,3487,66,0.981424,0.999851,0.658739,0.999851,0.341261,0.794218,0.993486,1.006408,0.021429
13,6731,1,3485,68,0.980861,0.999851,0.658868,0.999851,0.341132,0.794312,0.993291,1.006605,0.0225
14,6731,1,3483,70,0.980298,0.999851,0.658997,0.999851,0.341003,0.794406,0.993097,1.006802,0.022667
15,6731,1,3482,71,0.980017,0.999851,0.659062,0.999851,0.340938,0.794453,0.993,1.0069,0.025
16,6731,1,3481,72,0.979735,0.999851,0.659127,0.999851,0.340873,0.7945,0.992902,1.006999,0.025385
17,6731,1,3480,73,0.979454,0.999851,0.659191,0.999851,0.340809,0.794546,0.992805,1.007097,0.026
18,6731,1,3477,76,0.97861,0.999851,0.659385,0.999851,0.340615,0.794687,0.992513,1.007393,0.026667
19,6731,1,3476,77,0.978328,0.999851,0.659449,0.999851,0.340551,0.794734,0.992416,1.007492,0.027619
20,6731,1,3475,78,0.978047,0.999851,0.659514,0.999851,0.340486,0.794781,0.992319,1.007591,0.028889
21,6730,2,3475,78,0.978047,0.999703,0.659481,0.999703,0.340519,0.79471,0.992222,1.00754,0.03
22,6729,3,3436,117,0.96707,0.999554,0.661977,0.999554,0.338023,0.796473,0.988333,1.011354,0.030858
23,6729,3,3435,118,0.966789,0.999554,0.662043,0.999554,0.337957,0.79652,0.988235,1.011454,0.031241
24,6729,3,3434,119,0.966507,0.999554,0.662108,0.999554,0.337892,0.796567,0.988138,1.011553,0.032526
25,6729,3,3433,120,0.966226,0.999554,0.662173,0.999554,0.337827,0.796614,0.988041,1.011653,0.032727
26,6729,3,3432,121,0.965944,0.999554,0.662238,0.999554,0.337762,0.796661,0.987944,1.011752,0.033955
27,6729,3,3431,122,0.965663,0.999554,0.662303,0.999554,0.337697,0.796709,0.987846,1.011852,0.035
28,6729,3,3430,123,0.965381,0.999554,0.662368,0.999554,0.337632,0.796756,0.987749,1.011952,0.035
29,6729,3,3426,127,0.964256,0.999554,0.662629,0.999554,0.337371,0.796944,0.98736,1.01235,0.035184
30,6729,3,3425,128,0.963974,0.999554,0.662695,0.999554,0.337305,0.796992,0.987263,1.01245,0.035455
31,6729,3,3424,129,0.963693,0.999554,0.66276,0.999554,0.33724,0.797039,0.987166,1.01255,0.036
32,6729,3,3423,130,0.963411,0.999554,0.662825,0.999554,0.337175,0.797086,0.987069,1.012649,0.036333
33,6729,3,3422,131,0.96313,0.999554,0.66289,0.999554,0.33711,0.797133,0.986971,1.012749,0.0375
34,6729,3,3420,133,0.962567,0.999554,0.663021,0.999554,0.336979,0.797228,0.986777,1.012949,0.038636
35,6729,3,3419,134,0.962285,0.999554,0.663086,0.999554,0.336914,0.797275,0.98668,1.013049,0.039259
36,6729,3,3418,135,0.962004,0.999554,0.663152,0.999554,0.336848,0.797322,0.986582,1.013148,0.04
37,6728,4,3365,188,0.947087,0.999406,0.666601,0.999406,0.333399,0.799762,0.981332,1.018418,0.040588
38,6728,4,3364,189,0.946806,0.999406,0.666667,0.999406,0.333333,0.79981,0.981235,1.018519,0.040625
39,6728,4,3363,190,0.946524,0.999406,0.666733,0.999406,0.333267,0.799857,0.981138,1.018619,0.041
40,6728,4,3362,191,0.946243,0.999406,0.666799,0.999406,0.333201,0.799905,0.98104,1.01872,0.042
41,6728,4,3361,192,0.945961,0.999406,0.666865,0.999406,0.333135,0.799952,0.980943,1.018821,0.042048
42,6728,4,3360,193,0.94568,0.999406,0.666931,0.999406,0.333069,0.8,0.980846,1.018922,0.0425
43,6728,4,3358,195,0.945117,0.999406,0.667063,0.999406,0.332937,0.800095,0.980651,1.019124,0.042778
44,6728,4,3357,196,0.944835,0.999406,0.667129,0.999406,0.332871,0.800143,0.980554,1.019225,0.043333
45,6728,4,3356,197,0.944554,0.999406,0.667196,0.999406,0.332804,0.80019,0.980457,1.019327,0.043333
46,6728,4,3355,198,0.944272,0.999406,0.667262,0.999406,0.332738,0.800238,0.98036,1.019428,0.043437
47,6728,4,3354,199,0.943991,0.999406,0.667328,0.999406,0.332672,0.800285,0.980263,1.019529,0.044
48,6728,4,3353,200,0.94371,0.999406,0.667394,0.999406,0.332606,0.800333,0.980165,1.01963,0.044
49,6728,4,3352,201,0.943428,0.999406,0.66746,0.999406,0.33254,0.800381,0.980068,1.019731,0.044167
50,6728,4,3351,202,0.943147,0.999406,0.667527,0.999406,0.332473,0.800428,0.979971,1.019832,0.044167
51,6728,4,3350,203,0.942865,0.999406,0.667593,0.999406,0.332407,0.800476,0.979874,1.019933,0.044348
52,6728,4,3349,204,0.942584,0.999406,0.667659,0.999406,0.332341,0.800524,0.979776,1.020035,0.044429
53,6728,4,3348,205,0.942302,0.999406,0.667725,0.999406,0.332275,0.800571,0.979679,1.020136,0.0445
54,6728,4,3347,206,0.942021,0.999406,0.667792,0.999406,0.332208,0.800619,0.979582,1.020237,0.045
55,6728,4,3345,208,0.941458,0.999406,0.667924,0.999406,0.332076,0.800714,0.979387,1.02044,0.045333
56,6728,4,3344,209,0.941176,0.999406,0.66799,0.999406,0.33201,0.800762,0.97929,1.020541,0.045782
