@relation ThresholdCurve

@attribute Instance_number numeric
@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
0,3553,0,6732,0,1,1,0.345455,1,0.654545,0.513514,1,1,0
1,3549,4,3235,3497,0.480541,0.998874,0.523143,0.998874,0.476857,0.68666,0.659601,1.51436,0.000048
2,3549,4,3234,3498,0.480392,0.998874,0.52322,0.998874,0.47678,0.686726,0.659504,1.514584,0.000119
3,3549,4,3233,3499,0.480244,0.998874,0.523297,0.998874,0.476703,0.686792,0.659407,1.514807,0.000233
4,3549,4,3232,3500,0.480095,0.998874,0.523374,0.998874,0.476626,0.686859,0.65931,1.51503,0.000264
5,3549,4,3231,3501,0.479947,0.998874,0.523451,0.998874,0.476549,0.686925,0.659212,1.515254,0.000313
6,3549,4,3230,3502,0.479798,0.998874,0.523529,0.998874,0.476471,0.686992,0.659115,1.515477,0.000345
7,3549,4,3229,3503,0.479649,0.998874,0.523606,0.998874,0.476394,0.687058,0.659018,1.515701,0.0005
8,3549,4,3228,3504,0.479501,0.998874,0.523683,0.998874,0.476317,0.687125,0.658921,1.515925,0.000588
9,3549,4,3227,3505,0.479352,0.998874,0.52376,0.998874,0.47624,0.687191,0.658824,1.516148,0.000909
10,3549,4,3225,3507,0.479055,0.998874,0.523915,0.998874,0.476085,0.687324,0.658629,1.516596,0.000914
11,3549,4,3224,3508,0.478907,0.998874,0.523992,0.998874,0.476008,0.687391,0.658532,1.51682,0.001111
12,3549,4,3223,3509,0.478758,0.998874,0.52407,0.998874,0.47593,0.687458,0.658435,1.517044,0.001176
13,3549,4,3222,3510,0.47861,0.998874,0.524147,0.998874,0.475853,0.687524,0.658337,1.517268,0.00125
14,3549,4,3221,3511,0.478461,0.998874,0.524225,0.998874,0.475775,0.687591,0.65824,1.517492,0.002083
15,3549,4,3220,3512,0.478313,0.998874,0.524302,0.998874,0.475698,0.687657,0.658143,1.517716,0.002222
16,3549,4,3219,3513,0.478164,0.998874,0.524379,0.998874,0.475621,0.687724,0.658046,1.51794,0.003
17,3549,4,3217,3515,0.477867,0.998874,0.524534,0.998874,0.475466,0.687857,0.657851,1.518389,0.003182
18,3549,4,3216,3516,0.477718,0.998874,0.524612,0.998874,0.475388,0.687924,0.657754,1.518614,0.003333
19,3549,4,3214,3518,0.477421,0.998874,0.524767,0.998874,0.475233,0.688057,0.65756,1.519063,0.003529
20,3549,4,3213,3519,0.477273,0.998874,0.524845,0.998874,0.475155,0.688124,0.657462,1.519287,0.00375
21,3549,4,3212,3520,0.477124,0.998874,0.524922,0.998874,0.475078,0.688191,0.657365,1.519512,0.003931
22,3549,4,3211,3521,0.476976,0.998874,0.525,0.998874,0.475,0.688258,0.657268,1.519737,0.004
23,3549,4,3209,3523,0.476679,0.998874,0.525155,0.998874,0.474845,0.688391,0.657073,1.520187,0.004286
24,3549,4,3208,3524,0.47653,0.998874,0.525233,0.998874,0.474767,0.688458,0.656976,1.520412,0.004444
25,3549,4,3207,3525,0.476381,0.998874,0.525311,0.998874,0.474689,0.688525,0.656879,1.520637,0.005714
26,3549,4,3206,3526,0.476233,0.998874,0.525389,0.998874,0.474611,0.688591,0.656782,1.520862,0.007778
27,3549,4,3205,3527,0.476084,0.998874,0.525466,0.998874,0.474534,0.688658,0.656684,1.521087,0.00875
28,3549,4,3203,3529,0.475787,0.998874,0.525622,0.998874,0.474378,0.688792,0.65649,1.521537,0.01
29,3543,10,2481,4251,0.368538,0.997185,0.588147,0.997185,0.411853,0.739898,0.585707,1.702532,0.010164
30,3543,10,2479,4253,0.368241,0.997185,0.588343,0.997185,0.411657,0.740052,0.585513,1.703097,0.010233
31,3543,10,2478,4254,0.368093,0.997185,0.58844,0.997185,0.41156,0.74013,0.585416,1.70338,0.010769
32,3543,10,2477,4255,0.367944,0.997185,0.588538,0.997185,0.411462,0.740207,0.585318,1.703663,0.010833
33,3543,10,2476,4256,0.367796,0.997185,0.588636,0.997185,0.411364,0.740284,0.585221,1.703946,0.010909
34,3543,10,2474,4258,0.367499,0.997185,0.588832,0.997185,0.411168,0.740439,0.585027,1.704513,0.011
35,3543,10,2473,4259,0.36735,0.997185,0.58893,0.997185,0.41107,0.740516,0.58493,1.704796,0.011053
36,3543,10,2472,4260,0.367201,0.997185,0.589027,0.997185,0.410973,0.740594,0.584832,1.705079,0.01125
37,3543,10,2471,4261,0.367053,0.997185,0.589125,0.997185,0.410875,0.740671,0.584735,1.705363,0.011429
38,3543,10,2470,4262,0.366904,0.997185,0.589223,0.997185,0.410777,0.740748,0.584638,1.705647,0.011667
39,3543,10,2468,4264,0.366607,0.997185,0.589419,0.997185,0.410581,0.740903,0.584443,1.706214,0.011875
40,3543,10,2467,4265,0.366459,0.997185,0.589517,0.997185,0.410483,0.740981,0.584346,1.706498,0.012
41,3543,10,2464,4268,0.366013,0.997185,0.589812,0.997185,0.410188,0.741213,0.584054,1.70735,0.013158
42,3543,10,2463,4269,0.365865,0.997185,0.58991,0.997185,0.41009,0.741291,0.583957,1.707634,0.013333
43,3542,11,2461,4271,0.365567,0.996904,0.590038,0.996904,0.409962,0.741314,0.583666,1.708006,0.013478
44,3542,11,2460,4272,0.365419,0.996904,0.590137,0.996904,0.409863,0.741392,0.583568,1.70829,0.014
45,3542,11,2458,4274,0.365122,0.996904,0.590333,0.996904,0.409667,0.741547,0.583374,1.70886,0.014444
46,3542,11,2457,4275,0.364973,0.996904,0.590432,0.996904,0.409568,0.741625,0.583277,1.709145,0.014681
47,3542,11,2456,4276,0.364825,0.996904,0.59053,0.996904,0.40947,0.741702,0.583179,1.709429,0.015
48,3542,11,2451,4281,0.364082,0.996904,0.591023,0.996904,0.408977,0.742091,0.582693,1.710856,0.015098
49,3542,11,2449,4283,0.363785,0.996904,0.59122,0.996904,0.40878,0.742246,0.582499,1.711427,0.015421
50,3542,11,2447,4285,0.363488,0.996904,0.591418,0.996904,0.408582,0.742402,0.582304,1.711998,0.016
51,3542,11,2445,4287,0.363191,0.996904,0.591615,0.996904,0.408385,0.742558,0.58211,1.71257,0.016667
52,3542,11,2444,4288,0.363042,0.996904,0.591714,0.996904,0.408286,0.742635,0.582013,1.712856,0.018
53,3542,11,2443,4289,0.362894,0.996904,0.591813,0.996904,0.408187,0.742713,0.581915,1.713143,0.02
54,3537,16,2034,4698,0.302139,0.995497,0.634895,0.995497,0.365105,0.775318,0.541663,1.837854,0.020244
55,3537,16,2033,4699,0.30199,0.995497,0.635009,0.995497,0.364991,0.775403,0.541565,1.838184,0.020435
56,3537,16,2032,4700,0.301842,0.995497,0.635123,0.995497,0.364877,0.775488,0.541468,1.838514,0.020588
57,3537,16,2031,4701,0.301693,0.995497,0.635237,0.995497,0.364763,0.775573,0.541371,1.838844,0.020714
58,3537,16,2026,4706,0.300951,0.995497,0.635808,0.995497,0.364192,0.775998,0.540885,1.840497,0.020833
59,3537,16,2025,4707,0.300802,0.995497,0.635922,0.995497,0.364078,0.776083,0.540788,1.840828,0.02125
60,3537,16,2023,4709,0.300505,0.995497,0.636151,0.995497,0.363849,0.776254,0.540593,1.84149,0.021739
61,3537,16,2022,4710,0.300357,0.995497,0.636266,0.995497,0.363734,0.776339,0.540496,1.841821,0.021795
62,3537,16,2021,4711,0.300208,0.995497,0.63638,0.995497,0.36362,0.776424,0.540399,1.842153,0.021818
63,3537,16,2020,4712,0.300059,0.995497,0.636495,0.995497,0.363505,0.776509,0.540301,1.842484,0.0225
64,3537,16,2018,4714,0.299762,0.995497,0.636724,0.995497,0.363276,0.77668,0.540107,1.843147,0.023077
65,3537,16,2017,4715,0.299614,0.995497,0.636838,0.995497,0.363162,0.776765,0.54001,1.843479,0.023333
66,3537,16,2016,4716,0.299465,0.995497,0.636953,0.995497,0.363047,0.77685,0.539912,1.843811,0.023333
67,3537,16,2014,4718,0.299168,0.995497,0.637182,0.995497,0.362818,0.777021,0.539718,1.844476,0.024545
68,3537,16,2013,4719,0.29902,0.995497,0.637297,0.995497,0.362703,0.777106,0.539621,1.844808,0.024674
69,3537,16,2012,4720,0.298871,0.995497,0.637412,0.995497,0.362588,0.777192,0.539524,1.84514,0.025
70,3537,16,2011,4721,0.298723,0.995497,0.637527,0.995497,0.362473,0.777277,0.539426,1.845473,0.025385
71,3537,16,2009,4723,0.298425,0.995497,0.637757,0.995497,0.362243,0.777448,0.539232,1.846139,0.0275
72,3537,16,2008,4724,0.298277,0.995497,0.637872,0.995497,0.362128,0.777534,0.539135,1.846471,0.03
73,3533,20,1795,4937,0.266637,0.994371,0.663101,0.994371,0.336899,0.795631,0.518036,1.919502,0.0304
74,3532,21,1795,4937,0.266637,0.99409,0.663037,0.99409,0.336963,0.795495,0.517939,1.919319,0.030417
75,3532,21,1794,4938,0.266488,0.99409,0.663162,0.99409,0.336838,0.795585,0.517842,1.919679,0.030642
76,3532,21,1793,4939,0.26634,0.99409,0.663286,0.99409,0.336714,0.795675,0.517744,1.92004,0.030769
77,3531,22,1793,4939,0.26634,0.993808,0.663223,0.993808,0.336777,0.795539,0.517647,1.919856,0.030909
78,3531,22,1791,4941,0.266043,0.993808,0.663472,0.993808,0.336528,0.795718,0.517453,1.920578,0.031429
79,3531,22,1790,4942,0.265894,0.993808,0.663597,0.993808,0.336403,0.795808,0.517355,1.920939,0.031818
80,3531,22,1788,4944,0.265597,0.993808,0.663847,0.993808,0.336153,0.795987,0.517161,1.921661,0.0325
81,3530,23,1785,4947,0.265152,0.993527,0.664158,0.993527,0.335842,0.796121,0.516772,1.922563,0.033333
82,3530,23,1784,4948,0.265003,0.993527,0.664283,0.993527,0.335717,0.796211,0.516675,1.922925,0.033409
